Freguesia;Dicofre;Fogos_licenc
Abade de Neiva;030201;5
Aborim;030202;0
Adães;030203;5
Airó;030205;13
Aldreu;030206;0
Alvelos;030208;8
Arcozelo;030209;27
Areias;030210;4
Balugães;030212;6
Barcelinhos;030213;4
Barqueiros;030215;5
Cambeses;030216;1
Carapeços;030218;1
Carvalhal;030220;10
Carvalhas;030221;5
Cossourado;030224;3
Cristelo;030228;4
Fornelos;030234;1
Fragoso;030235;3
Galegos (Santa Maria);030268;6
Galegos (São Martinho);030272;3
Gilmonde;030237;2
Lama;030242;1
Lijó;030243;4
Macieira de Rates;030244;6
Manhente;030245;7
Martim;030247;6
Moure;030252;0
Oliveira;030254;1
Palme;030255;5
Panque;030256;1
Paradela;030257;2
Pereira;030259;6
Perelhal;030260;15
Pousa;030261;5
Remelhe;030263;5
Rio Covo (Santa Eugénia);030265;2
Roriz;030264;0
Silva;030279;4
Tamel (São Veríssimo);030277;18
Ucha;030282;6
União das freguesias de Alheira e Igreja Nova;030290;3
União das freguesias de Alvito (São Pedro e São Martinho) e Couto;030291;3
União das freguesias de Areias de Vilar e Encourados;030292;4
União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);030293;125
União das freguesias de Campo e Tamel (São Pedro Fins);030294;3
União das freguesias de Carreira e Fonte Coberta;030295;4
União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;030296;7
União das freguesias de Creixomil e Mariz;030297;5
União das freguesias de Durrães e Tregosa;030298;6
União das freguesias de Gamil e Midões;030299;0
União das freguesias de Milhazes, Vilar de Figos e Faria;0302FA;3
União das freguesias de Negreiros e Chavão;0302FB;4
União das freguesias de Quintiães e Aguiar;0302FC;0
União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);0302FD;6
União das freguesias de Silveiros e Rio Covo (Santa Eulália);0302FE;2
União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;0302FF;3
União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;0302FG;33
União das freguesias de Vila Cova e Feitos;0302FH;10
Várzea;030283;11
Vila Seca;030287;1
Adaúfe;030301;12
Braga (São Vicente);030349;1
Braga (São Vítor);030351;29
Espinho;030312;9
Esporões;030313;9
Figueiredo;030315;3
Gualtar;030319;126
Lamas;030322;4
Mire de Tibães;030325;6
Padim da Graça;030330;3
Palmeira;030331;42
Pedralva;030334;5
Priscos;030336;5
Ruilhe;030338;2
Sequeira;030354;30
Sobreposta;030355;5
Tadim;030356;5
Tebosa;030357;4
União das freguesias de Arentim e Cunha;030363;2
União das freguesias de Braga (Maximinos, Sé e Cividade);030364;46
União das freguesias de Braga (São José de São Lázaro e São João do Souto);030365;8
União das freguesias de Cabreiros e Passos (São Julião);030366;11
União das freguesias de Celeirós, Aveleda e Vimieiro;030367;14
União das freguesias de Crespos e Pousada;030368;3
União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);030369;7
União das freguesias de Este (São Pedro e São Mamede);030370;29
União das freguesias de Ferreiros e Gondizalves;030371;117
União das freguesias de Guisande e Oliveira (São Pedro);030372;4
União das freguesias de Lomar e Arcos;030373;18
União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;030374;23
União das freguesias de Merelim (São Pedro) e Frossos;030375;35
União das freguesias de Morreira e Trandeiras;030376;0
União das freguesias de Nogueira, Fraião e Lamaçães;030377;76
União das freguesias de Nogueiró e Tenões;030378;77
União das freguesias de Real, Dume e Semelhe;030379;112
União das freguesias de Santa Lucrécia de Algeriz e Navarra;030380;9
União das freguesias de Vilaça e Fradelos;030381;11
Aldão;030801;7
Azurém;030804;13
Barco;030806;3
Brito;030807;9
Caldelas;030808;18
Candoso (São Martinho);030857;7
Costa;030812;48
Creixomil;030813;69
Fermentões;030815;13
Gonça;030820;4
Gondar;030821;17
Guardizela;030823;7
Infantas;030824;6
Longos;030827;2
Lordelo;030828;5
Mesão Frio;030830;30
Moreira de Cónegos;030831;8
Nespereira;030832;5
Pencelo;030835;5
Pinheiro;030836;3
Polvoreira;030837;5
Ponte;030838;94
Prazins (Santa Eufémia);030842;11
Ronfe;030840;44
Sande (São Martinho);030858;6
São Torcato;030865;11
Selho (São Cristóvão);030850;5
Selho (São Jorge);030854;17
Serzedelo;030866;4
Silvares;030868;7
União das freguesias de Abação e Gémeos;030875;3
União das freguesias de Airão Santa Maria, Airão São João e Vermil;030876;6
União das freguesias de Arosa e Castelões;030877;1
União das freguesias de Atães e Rendufe;030878;10
União das freguesias de Briteiros Santo Estêvão e Donim;030879;18
União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;030880;5
União das freguesias de Candoso São Tiago e Mascotelos;030881;8
União das freguesias de Conde e Gandarela;030882;2
União das freguesias de Leitões, Oleiros e Figueiredo;030883;1
União das freguesias de Oliveira, São Paio e São Sebastião;030884;47
União das freguesias de Prazins Santo Tirso e Corvite;030885;11
União das freguesias de Sande São Lourenço e Balazar;030886;2
União das freguesias de Sande Vila Nova e Sande São Clemente;030887;6
União das freguesias de Selho São Lourenço e Gominhães;030888;5
União das freguesias de Serzedo e Calvos;030889;7
União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;030890;5
União das freguesias de Tabuadelo e São Faustino;030891;5
Urgezes;030871;39
Bairro;031204;1
Brufe;031206;33
Castelões;031210;7
Cruz;031212;11
Delães;031213;6
Fradelos;031215;3
Gavião;031216;63
Joane;031219;58
Landim;031221;8
Louro;031223;5
Lousado;031224;4
Mogege;031225;12
Nine;031227;13
Oliveira (Santa Maria);031239;5
Oliveira (São Mateus);031242;0
Pedome;031230;9
Pousada de Saramagos;031232;1
Requião;031233;3
Riba de Ave;031234;3
Ribeirão;031235;53
União das freguesias de Antas e Abade de Vermoim;031250;123
União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;031251;13
União das freguesias de Avidos e Lagoa;031252;8
União das freguesias de Carreira e Bente;031253;1
União das freguesias de Esmeriz e Cabeçudos;031254;33
União das freguesias de Gondifelos, Cavalões e Outiz;031255;11
União das freguesias de Lemenhe, Mouquim e Jesufrei;031256;8
União das freguesias de Ruivães e Novais;031257;19
União das freguesias de Seide;031258;1
União das freguesias de Vale (São Cosme), Telhado e Portela;031259;23
União das freguesias de Vila Nova de Famalicão e Calendário;031260;78
Vale (São Martinho);031241;2
Vermoim;031247;9
Vilarinho das Cambas;031249;2
