COS18n1_L;Espaços descobertos ou com pouca vegetação;Territórios artificializados;Pastagens;Florestas;Agricultura;Matos;Massas de água superficiais;Superfícies agroflorestais (SAF);DICOFRE
Moure;;20.202;;34.503;45.2911;;;;030252
Cristelo;;15.1223;;21.2112;63.4588;0.2028;;;030228
Carvalhal;;32.898;;21.5616;45.5359;;;;030220
Pedralva;;12.3807;0.0024;49.9701;25.0675;12.5789;;;030334
Macieira de Rates;;11.1403;;23.4548;65.4011;;;;030244
Ponte;;42.1732;1.0391;15.9272;35.5525;2.7837;2.5252;;030838
Priscos;;26.6498;;39.7155;31.643;1.9905;;;030336
União das freguesias de Santa Lucrécia de Algeriz e Navarra;;16.4076;1.1556;43.2119;24.9224;12.3645;1.9374;;030380
Brufe;;30.4237;;35.4878;33.3507;0.7368;;;031206
Fragoso;;14.7598;0.1162;63.0294;21.1673;0.9225;;;030235
Sobreposta;0.5937;12.8749;;52.3131;18.913;15.3051;;;030355
Costa;;28.8001;;55.8725;12.7313;2.5968;;;030812
Adães;;23.2602;;30.0089;46.7292;;;;030203
Espinho;0.034;18.0468;;53.417;24.8999;3.6014;;;030312
Riba de Ave;;48.7566;;25.6475;14.5708;9.2794;1.7446;;031234
Pousa;;18.3803;;52.3656;24.8786;1.6886;2.6842;;030261
Cossourado;;13.8826;;42.6277;43.3301;0.1556;;;030224
Cambeses;;25.6794;;40.7086;33.609;;;;030216
União das freguesias de Atães e Rendufe;;11.8392;;47.7564;29.228;11.1759;;;030878
Carapeços;;15.4364;0.1618;69.6857;14.6191;0.0927;;;030218
Serzedelo;;32.0255;;20.8513;31.1704;15.4134;0.5392;;030866
Oliveira (São Mateus);;58.9543;;14.3326;18.8675;6.9107;0.9345;;031242
Pousada de Saramagos;;47.1181;;37.8509;12.7272;2.3017;;;031232
União das freguesias de Este (São Pedro e São Mamede);;21.2056;0.8144;44.7445;16.3253;16.9093;;;030370
Pencelo;;22.8599;;41.9587;33.6941;1.487;;;030835
Fornelos;;8.8596;;43.1007;43.6739;;4.3603;;030234
União das freguesias de Braga (Maximinos Sé e Cividade);;75.7452;0.664;7.5028;11.9073;4.1792;;;030364
Polvoreira;;36.1584;;22.9721;32.6038;8.2653;;;030837
União das freguesias de Nogueira Fraião e Lamaçães;;41.4556;0.6491;44.1547;11.2792;2.4611;;;030377
São Torcato;;13.7202;0.3825;47.0833;37.0907;1.7234;;;030865
Selho (São Jorge);;43.2612;;24.6506;22.8357;8.4024;0.8491;;030854
Candoso (São Martinho);;29.516;1.5317;20.9227;44.5943;3.4339;;;030857
Requião;;26.0673;;30.1887;41.194;2.547;;;031233
União das freguesias de Areias de Vilar e Encourados;;17.0343;;50.0136;28.4083;1.591;2.9498;;030292
União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);;16.7955;;46.0988;37.1024;;;;0302FD
União das freguesias de Candoso São Tiago e Mascotelos;;35.0115;;27.1184;33.3703;4.5001;;;030881
Pedome;;35.7118;;24.997;32.2864;5.5723;1.4312;;031230
Vale (São Martinho);;27.03;;39.4774;33.1108;0.3787;;;031241
União das freguesias de Campo e Tamel (São Pedro Fins);;23.0432;;30.222;45.5873;1.1445;;;030294
Bairro;;45.0044;2.1744;12.579;37.1899;1.4524;1.5973;;031204
União das freguesias de Ferreiros e Gondizalves;;54.2333;;19.3876;21.8007;4.5778;;;030371
Vilarinho das Cambas;;16.4786;;51.6897;27.5361;4.2931;;;031249
Arcozelo;;50.045;;5.4044;39.3959;5.0516;0.0983;;030209
União das freguesias de Prazins Santo Tirso e Corvite;;18.8554;;41.0308;37.5359;2.5776;;;030885
Rio Covo (Santa Eugénia);;28.3039;;30.5401;35.323;0.8139;5.014;;030265
Oliveira;;13.0569;;56.9801;29.6363;0.3232;;;030254
Lordelo;;46.8383;;19.1974;26.5919;6.0271;1.3429;;030828
Tebosa;;25.95;0.4392;33.242;38.3162;2.052;;;030357
União das freguesias de Lemenhe Mouquim e Jesufrei;;18.5972;;39.7811;40.5485;1.0712;;;031256
Carvalhas;;13.2821;;57.5247;28.8371;0.3514;;;030221
União das freguesias de Arosa e Castelões;;12.7011;;55.4117;26.4322;4.6664;0.7884;;030877
Mesão Frio;;39.7227;;35.5876;20.2415;4.4489;;;030830
Prazins (Santa Eufémia);;29.0406;;35.6876;31.7052;2.4738;1.0908;;030842
Gondar;;39.0876;;11.9663;35.7991;12.1583;0.9892;;030821
Vermoim;;25.6756;;36.951;34.5069;2.8646;;;031247
Braga (São Vítor);;83.5257;;11.2013;2.961;2.3102;;;030351
União das freguesias de Quintiães e Aguiar;;14.0251;;54.6303;31.3395;0.0007;;;0302FC
União das freguesias de Viatodos Grimancelos Minhotães e Monte de Fralães;;15.3211;;32.362;51.9639;0.3495;;;0302FG
União das freguesias de Esmeriz e Cabeçudos;;30.7096;;31.0255;33.1666;5.0949;;;031254
Lijó;;27.4776;;24.5918;46.5344;1.3914;;;030243
Airó;;19.426;;41.1884;39.3831;;;;030205
Gonça;;10.8469;;58.8685;17.0856;13.1987;;;030820
Moreira de Cónegos;;42.1186;;26.9341;18.9441;10.5173;1.4856;;030831
Martim;;25.0595;;47.0353;26.051;1.8509;;;030247
Mogege;;38.5831;;29.1431;29.8516;2.4196;;;031225
Azurém;;55.574;;20.6252;13.7887;10.0106;;;030804
União das freguesias de Cabreiros e Passos (São Julião);;26.0226;;34.1481;39.4378;0.3906;;;030366
União das freguesias de Vila Nova de Famalicão e Calendário;;51.5116;;19.983;20.8505;7.6526;;;031260
Figueiredo;;22.2232;;43.3298;33.0901;1.3552;;;030315
União das freguesias de Chorente Góios Courel Pedra Furada e Gueral;;10.5671;;35.4451;53.8806;0.1034;;;030296
Fermentões;;36.8389;;23.2323;36.1079;3.8206;;;030815
Gualtar;;56.6498;;22.4199;12.5264;8.4026;;;030319
União das freguesias de Guisande e Oliveira (São Pedro);;12.7484;;64.1487;21.5703;1.5309;;;030372
Urgezes;;42.7491;;24.2553;31.0587;1.936;;;030871
Nespereira;;28.3226;0.2496;45.1404;21.1265;5.1597;;;030832
