Freguesia;Dicofre;Ind_envelhecimento
Abade de Neiva;030201;125,9
Aborim;030202;165,09
Adães;030203;163,64
Airó;030205;147,32
Aldreu;030206;187,76
Alvelos;030208;172,5
Arcozelo;030209;129,1
Areias;030210;155,88
Balugães;030212;175,53
Barcelinhos;030213;151,15
Barqueiros;030215;189,11
Cambeses;030216;184,89
Carapeços;030218;133,33
Carvalhal;030220;293,64
Carvalhas;030221;155,56
Cossourado;030224;186,81
Cristelo;030228;189,39
Fornelos;030234;143,64
Fragoso;030235;151,62
Galegos (Santa Maria);030268;128,91
Galegos (São Martinho);030272;138,49
Gilmonde;030237;155,05
Lama;030242;188,41
Lijó;030243;116,33
Macieira de Rates;030244;143,41
Manhente;030245;143,69
Martim;030247;122,03
Moure;030252;124,59
Oliveira;030254;160
Palme;030255;117,99
Panque;030256;162,34
Paradela;030257;137,62
Pereira;030259;129,01
Perelhal;030260;142,8
Pousa;030261;123,75
Remelhe;030263;178,01
Rio Covo (Santa Eugénia);030265;132,04
Roriz;030264;166,38
Silva;030279;221,43
Tamel (São Veríssimo);030277;209,91
Ucha;030282;117,06
União das freguesias de Alheira e Igreja Nova;030290;207,95
União das freguesias de Alvito (São Pedro e São Martinho) e Couto;030291;142,51
União das freguesias de Areias de Vilar e Encourados;030292;225,15
União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);030293;176,45
União das freguesias de Campo e Tamel (São Pedro Fins);030294;188,95
União das freguesias de Carreira e Fonte Coberta;030295;151
União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;030296;176,41
União das freguesias de Creixomil e Mariz;030297;247,52
União das freguesias de Durrães e Tregosa;030298;223,72
União das freguesias de Gamil e Midões;030299;127,17
União das freguesias de Milhazes, Vilar de Figos e Faria;0302FA;163,78
União das freguesias de Negreiros e Chavão;0302FB;154,17
União das freguesias de Quintiães e Aguiar;0302FC;172,06
União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);0302FD;155,92
União das freguesias de Silveiros e Rio Covo (Santa Eulália);0302FE;149,82
União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;0302FF;165,47
União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;0302FG;173,06
União das freguesias de Vila Cova e Feitos;0302FH;149,4
Várzea;030283;106,69
Vila Seca;030287;192,37
Adaúfe;030301;177,57
Braga (São Vicente);030349;126,09
Braga (São Vítor);030351;127,08
Espinho;030312;177,87
Esporões;030313;124,29
Figueiredo;030315;143,45
Gualtar;030319;93,21
Lamas;030322;100
Mire de Tibães;030325;202,33
Padim da Graça;030330;181,65
Palmeira;030331;136,05
Pedralva;030334;151,18
Priscos;030336;160,63
Ruilhe;030338;150,66
Sequeira;030354;219,39
Sobreposta;030355;116,67
Tadim;030356;104,06
Tebosa;030357;162,88
União das freguesias de Arentim e Cunha;030363;216,55
União das freguesias de Braga (Maximinos, Sé e Cividade);030364;161,81
União das freguesias de Braga (São José de São Lázaro e São João do Souto);030365;223,24
União das freguesias de Cabreiros e Passos (São Julião);030366;188,93
União das freguesias de Celeirós, Aveleda e Vimieiro;030367;137,23
União das freguesias de Crespos e Pousada;030368;192,31
União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);030369;142,4
