freguesia;dicofre;total
Abade de Neiva;030201;2009
Aborim;030202;827
Adães;030203;755
Airó;030205;883
Aldreu;030206;795
Alvelos;030208;2010
Arcozelo;030209;12824
Areias;030210;1026
Balugães;030212;787
Barcelinhos;030213;1869
Barqueiros;030215;1916
Cambeses;030216;1236
Carapeços;030218;2168
Carvalhal;030220;1233
Carvalhas;030221;692
Cossourado;030224;758
Cristelo;030228;1657
Fornelos;030234;803
Fragoso;030235;2069
Galegos (Santa Maria);030268;2848
Galegos (São Martinho);030272;1842
Gilmonde;030237;1497
Lama;030242;1164
Lijó;030243;2425
Macieira de Rates;030244;1907
Manhente;030245;1705
Martim;030247;2051
Moure;030252;921
Oliveira;030254;986
Palme;030255;1045
Panque;030256;631
Paradela;030257;789
Pereira;030259;1241
Perelhal;030260;1700
Pousa;030261;2218
Remelhe;030263;1280
Rio Covo (Santa Eugénia);030265;1556
Roriz;030264;2021
Silva;030279;900
Tamel (São Veríssimo);030277;2915
Ucha;030282;1416
União das freguesias de Alheira e Igreja Nova;030290;1347
União das freguesias de Alvito (São Pedro e São Martinho) e Couto;030291;1446
União das freguesias de Areias de Vilar e Encourados;030292;1740
União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);030293;11349
União das freguesias de Campo e Tamel (São Pedro Fins);030294;1509
União das freguesias de Carreira e Fonte Coberta;030295;2022
União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;030296;2454
União das freguesias de Creixomil e Mariz;030297;1112
União das freguesias de Durrães e Tregosa;030298;1379
União das freguesias de Gamil e Midões;030299;1377
União das freguesias de Milhazes, Vilar de Figos e Faria;0302FA;1993
União das freguesias de Negreiros e Chavão;0302FB;2203
União das freguesias de Quintiães e Aguiar;0302FC;1080
União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);0302FD;1808
União das freguesias de Silveiros e Rio Covo (Santa Eulália);0302FE;2098
União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;0302FF;1269
União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;0302FG;3744
União das freguesias de Vila Cova e Feitos;0302FH;2449
Várzea;030283;1934
Vila Seca;030287;1064
Adaúfe;030301;3587
Braga (São Vicente);030349;13974
Braga (São Vítor);030351;32876
Espinho;030312;1057
Esporões;030313;1713
Figueiredo;030315;1150
Gualtar;030319;6761
Lamas;030322;852
Mire de Tibães;030325;2344
Padim da Graça;030330;1416
Palmeira;030331;5700
Pedralva;030334;1060
Priscos;030336;1256
Ruilhe;030338;1110
Sequeira;030354;1741
Sobreposta;030355;1267
Tadim;030356;1267
Tebosa;030357;1081
União das freguesias de Arentim e Cunha;030363;1406
União das freguesias de Braga (Maximinos, Sé e Cividade);030364;15087
União das freguesias de Braga (São José de São Lázaro e São João do Souto);030365;14791
União das freguesias de Cabreiros e Passos (São Julião);030366;2082
União das freguesias de Celeirós, Aveleda e Vimieiro;030367;6742
União das freguesias de Crespos e Pousada;030368;1231
União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);030369;1823
União das freguesias de Este (São Pedro e São Mamede);030370;4066
União das freguesias de Ferreiros e Gondizalves;030371;9976
União das freguesias de Guisande e Oliveira (São Pedro);030372;1072
