dicofre;freguesia;tipau
030201;Abade de Neiva;AMU
030202;Aborim;AMU
030203;Adães;AMU
030205;Airó;AMU
030206;Aldreu;AMU
030208;Alvelos;APU
030209;Arcozelo;APU
030210;Areias;AMU
030212;Balugães;APU
030213;Barcelinhos;APU
030215;Barqueiros;AMU
030216;Cambeses;AMU
030218;Carapeços;APU
030220;Carvalhal;APU
030221;Carvalhas;AMU
030224;Cossourado;AMU
030228;Cristelo;AMU
030234;Fornelos;AMU
030235;Fragoso;AMU
030237;Gilmonde;AMU
030242;Lama;AMU
030243;Lijó;APU
030244;Macieira de Rates;AMU
030245;Manhente;APU
030247;Martim;APU
030252;Moure;AMU
030254;Oliveira;AMU
030255;Palme;AMU
030256;Panque;AMU
030257;Paradela;AMU
030259;Pereira;AMU
030260;Perelhal;AMU
030261;Pousa;AMU
030263;Remelhe;AMU
030264;Roriz;AMU
030265;Rio Covo (Santa Eugénia);APU
030268;Galegos (Santa Maria);APU
030272;Galegos (São Martinho);APU
030277;Tamel (São Veríssimo);APU
030279;Silva;AMU
030282;Ucha;AMU
030283;Várzea;APU
030287;Vila Seca;AMU
030290;União das freguesias de Alheira e Igreja Nova;AMU
030291;União das freguesias de Alvito (São Pedro e São Martinho) e Couto;AMU
030292;União das freguesias de Areias de Vilar e Encourados;AMU
030293;União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);APU
030294;União das freguesias de Campo e Tamel (São Pedro Fins);AMU
030295;União das freguesias de Carreira e Fonte Coberta;AMU
030296;União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;AMU
030297;União das freguesias de Creixomil e Mariz;AMU
030298;União das freguesias de Durrães e Tregosa;AMU
030299;União das freguesias de Gamil e Midões;AMU
0302FA;União das freguesias de Milhazes, Vilar de Figos e Faria;AMU
0302FB;União das freguesias de Negreiros e Chavão;AMU
0302FC;União das freguesias de Quintiães e Aguiar;AMU
0302FD;União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);AMU
0302FE;União das freguesias de Silveiros e Rio Covo (Santa Eulália);AMU
0302FF;União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;AMU
0302FG;União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;AMU
0302FH;União das freguesias de Vila Cova e Feitos;AMU
030301;Adaúfe;AMU
030312;Espinho;AMU
030313;Esporões;APU
030315;Figueiredo;APU
030319;Gualtar;APU
030322;Lamas;APU
030325;Mire de Tibães;APU
030330;Padim da Graça;APU
030331;Palmeira;APU
030334;Pedralva;AMU
030336;Priscos;AMU
030338;Ruilhe;APU
030349;Braga (São Vicente);APU
030351;Braga (São Vítor);APU
030354;Sequeira;AMU
030355;Sobreposta;AMU
030356;Tadim;APU
030357;Tebosa;AMU
030363;União das freguesias de Arentim e Cunha;AMU
030364;União das freguesias de Braga (Maximinos, Sé e Cividade);APU
030365;União das freguesias de Braga (São José de São Lázaro e São João do Souto);APU
030366;União das freguesias de Cabreiros e Passos (São Julião);APU
030367;União das freguesias de Celeirós, Aveleda e Vimieiro;APU
030368;União das freguesias de Crespos e Pousada;AMU
030369;União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);AMU
030370;União das freguesias de Este (São Pedro e São Mamede);APU
030371;União das freguesias de Ferreiros e Gondizalves;APU
030372;União das freguesias de Guisande e Oliveira (São Pedro);AMU
030373;União das freguesias de Lomar e Arcos;APU
030374;União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;APU
030375;União das freguesias de Merelim (São Pedro) e Frossos;APU
030376;União das freguesias de Morreira e Trandeiras;APU
030377;União das freguesias de Nogueira, Fraião e Lamaçães;APU
030378;União das freguesias de Nogueiró e Tenões;APU
030379;União das freguesias de Real, Dume e Semelhe;APU
030380;União das freguesias de Santa Lucrécia de Algeriz e Navarra;AMU
030381;União das freguesias de Vilaça e Fradelos;APU
030801;Aldão;APU
030804;Azurém;APU
030806;Barco;APU
030807;Brito;APU
030808;Caldelas;APU
030812;Costa;APU
030813;Creixomil;APU
030815;Fermentões;APU
030820;Gonça;AMU
030821;Gondar;APU
030823;Guardizela;APU
030824;Infantas;AMU
030827;Longos;AMU
030828;Lordelo;APU
030830;Mesão Frio;APU
030831;Moreira de Cónegos;APU
030832;Nespereira;APU
030835;Pencelo;APU
030836;Pinheiro;APU
030837;Polvoreira;APU
030838;Ponte;APU
030840;Ronfe;APU
030842;Prazins (Santa Eufémia);APU
030850;Selho (São Cristóvão);APU
030854;Selho (São Jorge);APU
030857;Candoso (São Martinho);APU
030858;Sande (São Martinho);APU
030865;São Torcato;AMU
030866;Serzedelo;APU
030868;Silvares;APU
030871;Urgezes;APU
030875;União das freguesias de Abação e Gémeos;APU
030876;União das freguesias de Airão Santa Maria, Airão São João e Vermil;APU
030877;União das freguesias de Arosa e Castelões;APR
030878;União das freguesias de Atães e Rendufe;AMU
030879;União das freguesias de Briteiros Santo Estêvão e Donim;AMU
030880;União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;AMU
030881;União das freguesias de Candoso São Tiago e Mascotelos;APU
030882;União das freguesias de Conde e Gandarela;APU
030883;União das freguesias de Leitões, Oleiros e Figueiredo;AMU
030884;União das freguesias de Oliveira, São Paio e São Sebastião;APU
030885;União das freguesias de Prazins Santo Tirso e Corvite;AMU
030886;União das freguesias de Sande São Lourenço e Balazar;AMU
030887;União das freguesias de Sande Vila Nova e Sande São Clemente;APU
030888;União das freguesias de Selho São Lourenço e Gominhães;APU
030889;União das freguesias de Serzedo e Calvos;APU
030890;União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;AMU
030891;União das freguesias de Tabuadelo e São Faustino;APU
031204;Bairro;APU
031206;Brufe;APU
031210;Castelões;APU
031212;Cruz;AMU
031213;Delães;APU
031215;Fradelos;AMU
031216;Gavião;APU
031219;Joane;APU
031221;Landim;APU
031223;Louro;AMU
031224;Lousado;APU
031225;Mogege;APU
031227;Nine;APU
031230;Pedome;APU
031232;Pousada de Saramagos;APU
031233;Requião;APU
031234;Riba de Ave;APU
031235;Ribeirão;APU
031239;Oliveira (Santa Maria);APU
031241;Vale (São Martinho);APU
031242;Oliveira (São Mateus);APU
031247;Vermoim;APU
031249;Vilarinho das Cambas;AMU
031250;União das freguesias de Antas e Abade de Vermoim;APU
031251;União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;APU
031252;União das freguesias de Avidos e Lagoa;APU
031253;União das freguesias de Carreira e Bente;APU
031254;União das freguesias de Esmeriz e Cabeçudos;APU
031255;União das freguesias de Gondifelos, Cavalões e Outiz;AMU
031256;União das freguesias de Lemenhe, Mouquim e Jesufrei;AMU
031257;União das freguesias de Ruivães e Novais;APU
031258;União das freguesias de Seide;APU
031259;União das freguesias de Vale (São Cosme), Telhado e Portela;APU
031260;União das freguesias de Vila Nova de Famalicão e Calendário;APU
