Freguesia;Dicofre;taxa_desemprego
Abade de Neiva;030201;4,51
Aborim;030202;7,25
Adães;030203;7,02
Airó;030205;4,63
Aldreu;030206;5,48
Alvelos;030208;4,27
Arcozelo;030209;7,42
Areias;030210;6,93
Balugães;030212;4,69
Barcelinhos;030213;4,2
Barqueiros;030215;7,72
Cambeses;030216;6,93
Carapeços;030218;5,22
Carvalhal;030220;4,6
Carvalhas;030221;8,44
Cossourado;030224;3,36
Cristelo;030228;3,16
Fornelos;030234;3,6
Fragoso;030235;4,74
Galegos (Santa Maria);030268;5,47
Galegos (São Martinho);030272;5,43
Gilmonde;030237;3,36
Lama;030242;5,13
Lijó;030243;5,53
Macieira de Rates;030244;4,23
Manhente;030245;6,1
Martim;030247;5,19
Moure;030252;5,02
Oliveira;030254;3,58
Palme;030255;2,96
Panque;030256;8,91
Paradela;030257;1,99
Pereira;030259;2,84
Perelhal;030260;3,07
Pousa;030261;5
Remelhe;030263;4,57
Rio Covo (Santa Eugénia);030265;5,32
Roriz;030264;5,12
Silva;030279;5,11
Tamel (São Veríssimo);030277;6,01
Ucha;030282;4,32
União das freguesias de Alheira e Igreja Nova;030290;6,74
União das freguesias de Alvito (São Pedro e São Martinho) e Couto;030291;4,5
União das freguesias de Areias de Vilar e Encourados;030292;5,31
União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);030293;5,62
União das freguesias de Campo e Tamel (São Pedro Fins);030294;4,2
União das freguesias de Carreira e Fonte Coberta;030295;5,58
União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;030296;5,35
União das freguesias de Creixomil e Mariz;030297;2,99
União das freguesias de Durrães e Tregosa;030298;5,77
União das freguesias de Gamil e Midões;030299;4,24
União das freguesias de Milhazes, Vilar de Figos e Faria;0302FA;5,19
União das freguesias de Negreiros e Chavão;0302FB;4,22
União das freguesias de Quintiães e Aguiar;0302FC;5,33
União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);0302FD;5,31
União das freguesias de Silveiros e Rio Covo (Santa Eulália);0302FE;4,98
União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;0302FF;3,46
União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;0302FG;4,86
