Freguesias;Dicofre_freg;Dicofre;Valor_mediano_m2
Abade de Neiva;030201;112030201;
Aborim;030202;112030202;
Adães;030203;112030203;
Airó;030205;112030205;
Aldreu;030206;112030206;
Alvelos;030208;112030208;
Arcozelo;030209;112030209;962
Areias;030210;112030210;
Balugães;030212;112030212;
Barcelinhos;030213;112030213;
Barqueiros;030215;112030215;
Cambeses;030216;112030216;
Carapeços;030218;112030218;
Carvalhal;030220;112030220;
Carvalhas;030221;112030221;
Cossourado;030224;112030224;
Cristelo;030228;112030228;
Fornelos;030234;112030234;
Fragoso;030235;112030235;
Galegos (Santa Maria);030268;112030268;
Galegos (São Martinho);030272;112030272;
Gilmonde;030237;112030237;
Lama;030242;112030242;
Lijó;030243;112030243;
Macieira de Rates;030244;112030244;
Manhente;030245;112030245;
Martim;030247;112030247;
Moure;030252;112030252;
Oliveira;030254;112030254;
Palme;030255;112030255;
Panque;030256;112030256;
Paradela;030257;112030257;
Pereira;030259;112030259;
Perelhal;030260;112030260;
Pousa;030261;112030261;
Remelhe;030263;112030263;
Rio Covo (Santa Eugénia);030265;112030265;
Roriz;030264;112030264;
Silva;030279;112030279;
Tamel (São Veríssimo);030277;112030277;970
Ucha;030282;112030282;
União das freguesias de Alheira e Igreja Nova;030290;112030290;
União das freguesias de Alvito (São Pedro e São Martinho) e Couto;030291;112030291;
União das freguesias de Areias de Vilar e Encourados;030292;112030292;
União das freguesias de Barcelos Vila Boa e Vila Frescainha (São Martinho e São Pedro);030293;112030293;1062
União das freguesias de Campo e Tamel (São Pedro Fins);030294;112030294;
União das freguesias de Carreira e Fonte Coberta;030295;112030295;
União das freguesias de Chorente Góios Courel Pedra Furada e Gueral;030296;112030296;
União das freguesias de Creixomil e Mariz;030297;112030297;
União das freguesias de Durrães e Tregosa;030298;112030298;
União das freguesias de Gamil e Midões;030299;112030299;
União das freguesias de Milhazes Vilar de Figos e Faria;0302FA;1120302FA;
União das freguesias de Negreiros e Chavão;0302FB;1120302FB;
União das freguesias de Quintiães e Aguiar;0302FC;1120302FC;
União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);0302FD;1120302FD;
União das freguesias de Silveiros e Rio Covo (Santa Eulália);0302FE;1120302FE;
União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;0302FF;1120302FF;
União das freguesias de Viatodos Grimancelos Minhotães e Monte de Fralães;0302FG;1120302FG;
União das freguesias de Vila Cova e Feitos;0302FH;1120302FH;
Várzea;030283;112030283;
Vila Seca;030287;112030287;
Adaúfe;030301;112030301;
Braga (São Vicente);030349;112030349;1121
Braga (São Vítor);030351;112030351;1140
Espinho;030312;112030312;
Esporões;030313;112030313;
Figueiredo;030315;112030315;
Gualtar;030319;112030319;1350
Lamas;030322;112030322;
Mire de Tibães;030325;112030325;
Padim da Graça;030330;112030330;
Palmeira;030331;112030331;1101
